title,link,date
"La comunidad se tomó una de las instalaciones, ya que temen que las napas subterráneas y un pozo estén contaminados, a la luz de un reciente",https://interferencia.cl/articulos/vecinos-de-choapa-viejo-protestan-por-contaminacion-y-minera-los-pelambres-interpone,hace 17 meses
"Caimanes. ¿Qué es eso? Pocos lo saben. Por eso fui junto a mi hija y unos amigos hasta allá: a Caimanes, un pueblo en la comuna de Los Vilos",https://www.ciperchile.cl/2015/01/28/caimanes-el-pueblo-que-la-minera-del-grupo-luksic-dejo-sin-agua/,hace 116 meses
"En 2023 fue aprobado por unanimidad el proyecto Adaptación Operacional de Minera Los Pelambres, que permitirá reubicar las tuberías que",https://es.mongabay.com/2024/03/chile-proyecto-minero-cobre-avanza-personas-demandadas-amplio-prontuario-ambiental/,hace 7 meses
"Los habitantes del sector de Pichidangui y Quilimarí de la comuna de Los Vilos, afirman que no pueden más ante la falta de agua potable,",https://www.diarioeldia.cl/noticias/2023/09/26/115376-comision-investigadora-analizara-denuncias-por-calidad-del-agua-en-los-vilos,hace 12 meses
"En el pueblo de Rapel, ubicado en la comuna de Monte Patria, vive Isabel Coll, la mujer que logró evitar la tala de un emblemático árbol de",https://www.paiscircular.cl/medio-ambiente/isabel-coll/,hace 7 meses
Durante este martes 18 de octubre los jardines infantiles VTF de la comuna de Monte Patria amanecieron con carteles en protesta por mejores,https://www.elovallino.cl/articulo/jardines-vtf-monte-patria-protestan-por-mejores-condiciones/,hace 24 meses
"Ciudadanos de la localidad de Montegrande, de la comunidad Paihuano, se manifestaron esta semana contra el incumplimiento -de parte de",https://www.elciudadano.com/medio-ambiente/vecinos-y-comunidad-escolar-de-montegrande-protestan-por-contaminacion-ambiental/10/25/,hace 119 meses
"El pasado jueves este medio concurrió a una pauta convocada por un grupo de familias que se encontraba en el frontis de Enel, en su oficina",https://www.elciudadano.com/medio-ambiente/enel-responde-ante-protesta-de-vecinos-reubicados-por-bocamina-ii/09/29/,hace 84 meses
Durante este martes 18 de octubre los jardines infantiles VTF de la comuna de Monte Patria amanecieron con carteles en protesta por mejores,https://www.elovallino.cl/articulo/jardines-vtf-monte-patria-protestan-por-mejores-condiciones/,hace 24 meses
"Serían cerca de 120 las organizaciones territoriales beneficiadas a nivel total de todos los fondos, sumando aproximadamente 150 millones de",https://laserenaonline.cl/2023/09/04/organizaciones-sociales-de-monte-patria-reciben-fondos-por-150-millones-de-pesos-para-72-proyectos/,hace 13 meses
Un grupo de manifestantes provenientes de las tres provincias llegaron hasta la intendencia protestando por lo que califican como mal manejo,https://www.semanariotiempo.cl/protesta-en-contexto-de-sequia-segun-los-manifestantes-la-marcha-por-el-agua-es-un-grito-de-auxilio/,hace 44 meses
"Vecinos, vecinas y pequeños regantes del sector Río Grande se reunieron para manifestar su descontento por la falta de agua para riego,",https://laserenaonline.cl/2024/09/29/monte-patria-regantes-manifiestan-descontento-con-la-gestion-del-recurso-hidrico/,hace 3 semanas
"“Hemos trabajado sin problemas con todas las administraciones anteriores, de todas las tendencias, siempre de buena fe y con altura de miras",https://laserenaonline.cl/2023/03/28/pequenos-mineros-anuncian-nueva-manifestacion-contra-gobernadora-krist-naranjo/,hace 18 meses
"Serían cerca de 120 las organizaciones territoriales beneficiadas a nivel total de todos los fondos, sumando aproximadamente 150 millones de",https://laserenaonline.cl/2023/09/04/organizaciones-sociales-de-monte-patria-reciben-fondos-por-150-millones-de-pesos-para-72-proyectos/,hace 13 meses
"Vecinos, vecinas y pequeños regantes del sector Río Grande se reunieron para manifestar su descontento por la falta de agua para riego,",https://laserenaonline.cl/2024/09/29/monte-patria-regantes-manifiestan-descontento-con-la-gestion-del-recurso-hidrico/,hace 3 semanas
Pequeños regantes de la parte alta de la comuna de Monte Patria señalan las dificultades de mantener sus cosechas con turnos que superan los,https://www.diarioeldia.cl/noticias/2024/09/29/122908-agricultura-familiar-campesina-acusa-crisis-por-extensas-pausas-de-riego-en-monte-patria,hace 3 semanas
"El pasado 19 de enero se realizó la Participación Ciudadana por la ampliación de la faena de Diomedes Cruz en el sector, una instancia que encontró a los",https://www.chilevision.cl/noticias/nacional/tension-en-ovalle-por-proyecto-de-minera-san-cayetano-las-autoridades,hace 5 meses
"Tras diversos episodios violentos, robos y detenciones escenificados en el centro de la ciudad y en las calles más comerciales de la comuna;",https://www.elovallino.cl/articulo/comerciantes-centro-no-descartan-protestas-si-no-se-resuelven-hechos-violentos/,hace 5 meses
Emisión: 02/10/2024. Rinde protesta Claudia Sheinbaum como presidenta de México. Imagen Noticias. 5.01M subscribers. Rinde protesta Claudia Sheinbaum como,https://www.imagentv.com/monterrey/noticias/imagen-noticias-monterrey-con-claudia-ovalle/rinde-protesta-claudia-sheinbaum-como-presidenta-de-mexico,hace 3 semanas
"La resolución se produce en el marco de una antigua disputa. En 2014, la sociedad Inversiones J y B, propiedad del empresario Henry Muzard,",https://www.latercera.com/pulso-pm/noticia/tribunal-ambiental-despacha-orden-de-arresto-en-contra-de-francisco-javier-errazuriz-ovalle-por-incumplir-fallo-de-2016/BQTBBJ6JHZCT7BCWL2EN5A23UI/,hace 19 meses
"Compartir. El método de explotación previsto era la extracción de minerales presentes en los desmontes de la Mina El Dorado; sin embargo,",https://www.reporteminero.cl/noticia/noticias/2023/06/sma-proceso-sancionatorio-proyecto-minero-ovalle,hace 16 meses
El histórico centro comercial de la comuna de Ovalle levantó banderas negras y exigió medidas para revertir la inundación de comercio ilegal,https://radioguayacan.cl/index.php/2023/05/26/con-banderas-negras-feria-modelo-de-ovalle-se-suma-protesta-contra-el-comercio-ambulante-ilegal-y-delincuencia/,hace 16 meses
La Superintendencia del Medio Ambiente (SMA) ha ordenado medidas urgentes y transitorias al Parque Eólico Talinay por incumplimiento de,https://www.elciudadano.com/actualidad/parque-eolico-y-mortandad-masiva-de-aves-ordenan-medidas-urgentes-contra-empresa-talinay-en-ovalle/07/20/,hace 3 meses
"El pasado 19 de enero se realizó la Participación Ciudadana por la ampliación de la faena de Diomedes Cruz en el sector, una instancia que encontró a los",https://www.chilevision.cl/noticias/nacional/tension-en-ovalle-por-proyecto-de-minera-san-cayetano-las-autoridades,hace 5 meses
"El pasado 19 de enero se realizó la Participación Ciudadana por la ampliación de la faena de Diomedes Cruz en el sector, una instancia que encontró a los",https://www.chilevision.cl/noticias/nacional/tension-en-ovalle-por-proyecto-de-minera-san-cayetano-las-autoridades,hace 5 meses
"En su visita a Chile, el Director General de la Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO), QU Dongyu,",https://www.elovallino.cl/articulo/impulsan-proyecto-restauracion-paisajes-en-ovalle/,hace 5 meses
"La Región de Coquimbo, y en especial la Provincia del Limarí, arrastra una sequía de hace más de una década, la cual se ha agudizado con el",https://www.elovallino.cl/articulo/inminente-paro-camiones-aljibes-alerta-provincia/,hace 6 meses
"Bajo las consignas “Fuera Barrick Gold” y “De mar a cordillera, Elqui sin mineras”, más de 40 organizaciones se manifestaron en contra del",https://www.elciudadano.com/medio-ambiente/protestas-en-el-valle-del-elqui-comunidades-se-oponen-a-proyecto-minero-de-barrick-gold-por-amenaza-al-ecosistema/08/12/,hace 2 meses
"El Valle del Elqui no escapa a la grave sequía que afecta al país, provocando problemas para los pequeños agricultores de la zona, que la",https://www.ciperchile.cl/2021/02/19/agua-y-uso-de-plaguicidas-los-problemas-de-andronico-luksic-en-el-valle-del-elqui/,hace 44 meses
"Organizaciones del Valle del Elqui, hacen un llamado urgente a las autoridades competentes para reconsiderar la aprobación del proyecto",https://www.elciudadano.com/actualidad/barrick-gold-y-amenazas-al-valle-del-elqui-categorico-rechazo-a-proyecto-minero-campanario/07/27/,hace 2 meses
"Bajo las consignas “Fuera Barrick Gold” y “De mar a cordillera, Elqui sin mineras”, más de 40 organizaciones se manifestaron en contra del",https://www.elciudadano.com/medio-ambiente/protestas-en-el-valle-del-elqui-comunidades-se-oponen-a-proyecto-minero-de-barrick-gold-por-amenaza-al-ecosistema/08/12/,hace 2 meses
"El Valle del Elqui no escapa a la grave sequía que afecta al país, provocando problemas para los pequeños agricultores de la zona, que la",https://www.ciperchile.cl/2021/02/19/agua-y-uso-de-plaguicidas-los-problemas-de-andronico-luksic-en-el-valle-del-elqui/,hace 44 meses
"Bajo las consignas “Fuera Barrick Gold” y “De mar a cordillera, Elqui sin mineras”, más de 40 organizaciones se manifestaron en contra del",https://www.elciudadano.com/medio-ambiente/protestas-en-el-valle-del-elqui-comunidades-se-oponen-a-proyecto-minero-de-barrick-gold-por-amenaza-al-ecosistema/08/12/,hace 2 meses
"Durante este lunes 20 de diciembre, vecinos de la localidad de El Toro, en la comuna de Andacollo, los más cercanos a la faena de la Minera",https://www.elandacollino.cl/2021/12/21/vecinos-de-el-toro-se-cansaron-del-polvo-y-tronaduras-de-teck-realizaron-protesta-afuera-de-minera/,hace 34 meses
"En el contexto del estallido social de octubre del 2019, junto a las manifestaciones masivas registradas en la zona, se sumaron también",https://www.elquiglobal.cl/manifestaciones-por-la-sequia-en-el-valle-del-elqui/,hace 8 meses
"El Valle del Elqui no escapa a la grave sequía que afecta al país, provocando problemas para los pequeños agricultores de la zona, que la",https://www.ciperchile.cl/2021/02/19/agua-y-uso-de-plaguicidas-los-problemas-de-andronico-luksic-en-el-valle-del-elqui/,hace 44 meses
Chile. La entidad explicó que inició un procedimiento sancionatorio debido a incumplimientos ambientales detectados en su planta minera “Los,http://www.portalminero.com/pages/viewpage.action%3FpageId%3D99722396,hace 110 meses
Chile. La entidad explicó que inició un procedimiento sancionatorio debido a incumplimientos ambientales detectados en su planta minera “Los,http://www.portalminero.com/pages/viewpage.action%3FpageId%3D99722396,hace 110 meses
"“Hemos trabajado sin problemas con todas las administraciones anteriores, de todas las tendencias, siempre de buena fe y con altura de miras",https://laserenaonline.cl/2023/03/28/pequenos-mineros-anuncian-nueva-manifestacion-contra-gobernadora-krist-naranjo/,hace 18 meses
"Skip to end of metadata Page restrictions apply Attachments:2 Added by Editor Portal Minero, last edited by Editor Portal Minero on ago 14,",http://www.portalminero.com/pages/viewpage.action%3FpageId%3D99722698,hace 110 meses
Desde inicios de abril que una de las principales mineras de la comuna de Punitaqui ha estado en la palestra tras las deudas que mantiene,https://www.elovallino.cl/articulo/crisis-minera-punitaqui-anuncian-resolucion-reorganizacion-en-map/,hace 52 meses
Chile. La entidad explicó que inició un procedimiento sancionatorio debido a incumplimientos ambientales detectados en su planta minera “Los,http://www.portalminero.com/pages/viewpage.action%3FpageId%3D99722396,hace 110 meses
"El incidente se produjo en la ciudad de Punitaqui, ubicada en la región de Coquimbo. Usuarios llaman a tener cuidado y no transitar por el",https://www.latercera.com/la-tercera-tv/noticia/registran-abundante-bajada-de-agua-de-las-quebradas-producto-de-las-lluvias-en-el-norte/BHH3WI4YMNE2FAXMS3YYJIGDHA/,hace 4 meses
Esta semana alumnos del Liceo Alberto Gallardo Lorca de Punitaqui decidieron realizar una manifestación por una serie de problemas al,https://www.elovallino.cl/articulo/alumnos-punitaqui-exponen-problemas-interior-liceo/,hace 77 meses
Parlamentarias presentaron una serie de antecedentes que dan cuenta de distintos conflictos en los que se ha visto involucrada la empresa,https://interferencia.cl/articulos/solicitan-comision-investigadora-en-el-congreso-en-contra-de-aguas-san-isidro-por,hace 15 meses
El Gobierno Regional recomendó que la empresa Seda Chimbote se encargue de encontrar un método de tratamiento para hacer que el agua sea,https://www.infobae.com/peru/2024/08/25/crisis-ambiental-en-ancash-se-confirma-contaminacion-del-rio-santa-con-metales-pesados-y-no-es-apta-para-consumo-humano/,hace 1 mes
Los trabajos de desazolve en el río Pitillal son parte de las acciones de prevención y mitigación para evitar inundaciones durante el,https://vallartabanderas.com/desazolve-rio-pitillal-no-genera-impacto-ambiental/,hace 52 meses
"“Hemos trabajado sin problemas con todas las administraciones anteriores, de todas las tendencias, siempre de buena fe y con altura de miras",https://laserenaonline.cl/2023/03/28/pequenos-mineros-anuncian-nueva-manifestacion-contra-gobernadora-krist-naranjo/,hace 18 meses
"Con barricadas vecinos y vecinas cortaron la ruta D51 en el sector de Maitencillo, sector rural de la comuna de Andacollo. La protesta se",https://www.elandacollino.cl/2021/06/07/vecinos-de-maitencillo-en-andacollo-se-toman-la-ruta-d51-en-demanda-del-agua-potable-rural/,hace 40 meses
"Por Luciano Alday Villalobos / Ovalle. Tras el prolongado paro de 2019, los profesores parecían encontrar respuesta a sus demandas gracias a",https://www.elovallino.cl/articulo/profesores-ovalle-se-unen-protesta-nacional-por-veto-presidencial/,hace 36 meses
Un grupo de vecinas y vecinos de Villamayor se han concentrado ante la Delegación de la Junta en Salamanca con el fin de denunciar la,https://salamancartvaldia.es/noticia/2024-09-24-nuestros-pueblos-no-son-vertederos-gritan-los-vecinos-de-villamayor-por-los-malos-olores-de-una-fabrica-de-grasas-355050,hace 4 semanas
El Bocyl recoge el anuncio sobre la revisión de oficio de la autorización ambiental concedida a la empresa para imponerle todas las medidas,https://www.salamancahoy.es/salamanca/provincia/junta-oficializa-proceso-acabar-olores-fabrica-grasas-20240830113413-nt.html,hace 1 mes
"A través de los ejes Seguridad, Medio Ambiente e Imagen Urbana, se generarán los proyectos de mayor impacto durante el segundo periodo de",https://www.alcaldesdemexico.com/elecciones/cesar-prieto-toma-protesta-como-alcalde-de-salamanca-guanajuato/,hace 1 semana
"El único candidato que se presentaba ha ganado las elecciones a rector de la Universidad de Salamanca. El catedrático Juan Manuel Corchado,",https://elpais.com/ciencia/2024-05-07/juan-manuel-corchado-gana-las-elecciones-a-rector-de-la-universidad-de-salamanca-con-la-mitad-del-profesorado-en-contra.html,hace 5 meses
"Aprueban Quinta modificación al Presupuesto de Egresos para la operatividad del Municipio, así como la Cuarta Modificación al Presupuesto de Egresos del",https://www.salamanca.gob.mx/toma-protesta-jaime-gerardo-martinez-razo-como-nuevo-cronista-de-salamanca/,hace 2 meses
"Este jueves, Salamanca vivirá una jornada de movilización agraria sin precedentes. Convocada por las principales organizaciones del sector,",https://www.elespanol.com/castilla-y-leon/region/salamanca/20240207/toda-informacion-tractorada-jueves-salamanca/830916919_0.html,hace 8 meses
"Este sábado 17 de agosto, la comunidad venezolana de Salamanca se congregó en la icónica Plaza Mayor de 7:00 p.m. a 9:00 p.m., uniéndose a",https://salamancartvaldia.es/noticia/2024-08-17-salamanca-se-une-a-la-protesta-venezolana-en-respaldo-a-maria-corina-machado-y-edmundo-gonzalez-urrutia-352799,hace 2 meses
"Rosalba Garza Ojeda, tomó protesta como nueva presidenta del Club de Leones de Salamanca A.C.. La toma de protesta de la nueva mesa",https://www.elsoldesalamanca.com.mx/circulos/toma-protesta-como-presidenta-del-club-de-leones-de-salamanca-12237591.html,hace 3 meses
El pueblo de Villasrubias (Salamanca) revive su pasado minero con una serie de prospecciones en busca de litio ante la mirada escéptica de,https://www.elconfidencial.com/tecnologia/ciencia/2024-07-08/tesoro-litio-espanol-pueblo-salamanca_3918267/,hace 3 meses
"La polémica compañia australiana ETM, protagonista del convulso proyecto de Kvanefjeld (Groenlandia), tras los planes extractivistas de",https://www.elsaltodiario.com/mineria/minera-provoco-un-conflicto-groenlandia-irrumpe-proyectos-castilla-leon-extremadura,hace 4 meses
"Salamanca y Caimanes, ambas localidades ubicadas en la región de Coquimbo, también fueron parte de las protestas que sacudieron al país en",https://interferencia.cl/articulos/los-12-dias-en-que-minera-los-pelambres-de-los-luksic-estuvo-en-jaque-operacional-por-el,hace 57 meses
"En 2023 fue aprobado por unanimidad el proyecto Adaptación Operacional de Minera Los Pelambres, que permitirá reubicar las tuberías que",https://es.mongabay.com/2024/03/chile-proyecto-minero-cobre-avanza-personas-demandadas-amplio-prontuario-ambiental/,hace 7 meses
Interior monta un dispositivo policial para impedir que entre en Madrid la tractorada convocada para el sábado | Las movilizaciones,https://elpais.com/economia/2024-02-09/la-protesta-de-los-agricultores-en-directo.html,hace 8 meses
Un grupo de vecinas y vecinos de Villamayor se han concentrado ante la Delegación de la Junta en Salamanca con el fin de denunciar la,https://salamancartvaldia.es/noticia/2024-09-24-nuestros-pueblos-no-son-vertederos-gritan-los-vecinos-de-villamayor-por-los-malos-olores-de-una-fabrica-de-grasas-355050,hace 4 semanas
